Processed 37370 images in 2162.91 seconds
Batch processing times (ms):
Batch 1: 58746.36 ms
Batch 2: 63475.75 ms
Batch 3: 54767.36 ms
Batch 4: 58105.07 ms
Batch 5: 57744.77 ms
Batch 6: 59770.92 ms
Batch 7: 64387.46 ms
Batch 8: 60472.40 ms
Batch 9: 59223.61 ms
Batch 10: 85461.74 ms
Batch 11: 50855.71 ms
Batch 12: 52230.82 ms
Batch 13: 51259.73 ms
Batch 14: 50321.19 ms
Batch 15: 58765.60 ms
Batch 16: 65071.96 ms
Batch 17: 64948.11 ms
Batch 18: 57048.23 ms
Batch 19: 58454.59 ms
Batch 20: 68150.10 ms
Batch 21: 67333.92 ms
Batch 22: 71464.06 ms
Batch 23: 74634.75 ms
Batch 24: 73646.62 ms
Batch 25: 66789.42 ms
Batch 26: 60003.76 ms
Batch 27: 50346.37 ms
Batch 28: 49057.01 ms
Batch 29: 49663.42 ms
Batch 30: 47097.94 ms
Batch 31: 48878.37 ms
Batch 32: 49647.72 ms
Batch 33: 49302.66 ms
Batch 34: 49342.96 ms
Batch 35: 47883.60 ms
Batch 36: 45548.56 ms
Batch 37: 46065.77 ms
Batch 38: 16937.28 ms
