Processed 37370 images in 1983.73 seconds
Batch processing times (ms):
Batch 1: 45022.95 ms
Batch 2: 49809.07 ms
Batch 3: 43810.27 ms
Batch 4: 46741.60 ms
Batch 5: 54874.21 ms
Batch 6: 65085.53 ms
Batch 7: 71185.84 ms
Batch 8: 54682.93 ms
Batch 9: 56398.60 ms
Batch 10: 61726.06 ms
Batch 11: 59429.30 ms
Batch 12: 52903.29 ms
Batch 13: 58059.39 ms
Batch 14: 52576.87 ms
Batch 15: 53299.59 ms
Batch 16: 55818.92 ms
Batch 17: 58070.80 ms
Batch 18: 48076.36 ms
Batch 19: 48205.79 ms
Batch 20: 47284.26 ms
Batch 21: 46358.99 ms
Batch 22: 50246.87 ms
Batch 23: 48368.90 ms
Batch 24: 53985.57 ms
Batch 25: 51822.37 ms
Batch 26: 56581.49 ms
Batch 27: 55981.39 ms
Batch 28: 49370.20 ms
Batch 29: 53686.88 ms
Batch 30: 52227.30 ms
Batch 31: 53264.10 ms
Batch 32: 53977.69 ms
Batch 33: 54702.47 ms
Batch 34: 52797.34 ms
Batch 35: 51532.79 ms
Batch 36: 50136.68 ms
Batch 37: 48099.60 ms
Batch 38: 17528.90 ms
